id,heading_font,body_font,google_fonts_url,tailwind_snippet,mood,product_type
FP024,Fira+Code,Fira+Sans,https://fonts.googleapis.com/css2?family=Fira+Code:wght@400;600;700&family=Fira+Sans:wght@400;500&display=swap,font-['Fira_Code'],technical-developer,dev-tool-neutral
FP025,Source+Code+Pro,Source+Sans+Pro,https://fonts.googleapis.com/css2?family=Source+Code+Pro:wght@400;600;700&family=Source+Sans+Pro:wght@400;500&display=swap,font-['Source_Code_Pro'],technical-systematic,dev-tool-neutral
FP026,Roboto+Mono,Roboto,https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@400;600;700&family=Roboto:wght@400;500&display=swap,font-['Roboto_Mono'],technical-system,analytics-dashboard
FP027,Bebas+Neue,Open+Sans,https://fonts.googleapis.com/css2?family=Bebas+Neue:wght@400;600;700&family=Open+Sans:wght@400;500&display=swap,font-['Bebas_Neue'],impactful-bold,marketing-agency
FP028,Anton,Roboto,https://fonts.googleapis.com/css2?family=Anton:wght@400;600;700&family=Roboto:wght@400;500&display=swap,font-['Anton'],bold-impactful,media-editorial
FP029,Black+Han+Sans,Nanum+Gothic,https://fonts.googleapis.com/css2?family=Black+Han+Sans:wght@400;600;700&family=Nanum+Gothic:wght@400;500&display=swap,font-['Black_Han_Sans'],bold-cultural,consumer-playful
FP030,Righteous,Quicksand,https://fonts.googleapis.com/css2?family=Righteous:wght@400;600;700&family=Quicksand:wght@400;500&display=swap,font-['Righteous'],playful-retro,consumer-playful
FP031,Lobster,Cabin,https://fonts.googleapis.com/css2?family=Lobster:wght@400;600;700&family=Cabin:wght@400;500&display=swap,font-['Lobster'],casual-friendly,food-beverage
FP032,Pacifico,Nunito,https://fonts.googleapis.com/css2?family=Pacifico:wght@400;600;700&family=Nunito:wght@400;500&display=swap,font-['Pacifico'],playful-friendly,consumer-playful
FP033,Dancing+Script,Lato,https://fonts.googleapis.com/css2?family=Dancing+Script:wght@400;600;700&family=Lato:wght@400;500&display=swap,font-['Dancing_Script'],elegant-feminine,wellness-beauty
FP034,Great+Vibes,Montserrat,https://fonts.googleapis.com/css2?family=Great+Vibes:wght@400;600;700&family=Montserrat:wght@400;500&display=swap,font-['Great_Vibes'],luxury-aspirational,wellness-beauty
FP035,Sacramento,Raleway,https://fonts.googleapis.com/css2?family=Sacramento:wght@400;600;700&family=Raleway:wght@400;500&display=swap,font-['Sacramento'],delicate-feminine,wellness-beauty
FP036,Cabin,Cabin+Sketch,https://fonts.googleapis.com/css2?family=Cabin:wght@400;600;700&family=Cabin+Sketch:wght@400;500&display=swap,font-['Cabin'],creative-handmade,marketing-agency
FP037,Oswald,Quattrocento,https://fonts.googleapis.com/css2?family=Oswald:wght@400;600;700&family=Quattrocento:wght@400;500&display=swap,font-['Oswald'],historical-cultural,media-editorial
FP038,Ubuntu,Ubuntu+Mono,https://fonts.googleapis.com/css2?family=Ubuntu:wght@400;600;700&family=Ubuntu+Mono:wght@400;500&display=swap,font-['Ubuntu'],technical-systematic,dev-tool-neutral
FP039,Barlow,Barlow+Condensed,https://fonts.googleapis.com/css2?family=Barlow:wght@400;600;700&family=Barlow+Condensed:wght@400;500&display=swap,font-['Barlow'],flexible-newsy,media-editorial
FP040,Exo+2,Nunito+Sans,https://fonts.googleapis.com/css2?family=Exo+2:wght@400;600;700&family=Nunito+Sans:wght@400;500&display=swap,font-['Exo_2'],futuristic-tech,ai-product
FP041,Titillium+Web,Source+Sans+Pro,https://fonts.googleapis.com/css2?family=Titillium+Web:wght@400;600;700&family=Source+Sans+Pro:wght@400;500&display=swap,font-['Titillium_Web'],legible-functional,education-friendly
FP042,Philosopher,PT+Sans,https://fonts.googleapis.com/css2?family=Philosopher:wght@400;600;700&family=PT+Sans:wght@400;500&display=swap,font-['Philosopher'],literary-balanced,education-friendly
FP043,Cinzel,Fauna+One,https://fonts.googleapis.com/css2?family=Cinzel:wght@400;600;700&family=Fauna+One:wght@400;500&display=swap,font-['Cinzel'],spiritual-organic,wellness-beauty
FP044,Abril+Fatface,Poppins,https://fonts.googleapis.com/css2?family=Abril+Fatface:wght@400;600;700&family=Poppins:wght@400;500&display=swap,font-['Abril_Fatface'],fashion-impactful,ecommerce-bold
FP045,Alfa+Slab+One,Noto+Sans,https://fonts.googleapis.com/css2?family=Alfa+Slab+One:wght@400;600;700&family=Noto+Sans:wght@400;500&display=swap,font-['Alfa_Slab_One'],bold-global,b2b-enterprise
FP046,Arvo,PT+Sans,https://fonts.googleapis.com/css2?family=Arvo:wght@400;600;700&family=PT+Sans:wght@400;500&display=swap,font-['Arvo'],balanced-newsy,media-editorial
FP047,Rokkitt,Lato,https://fonts.googleapis.com/css2?family=Rokkitt:wght@400;600;700&family=Lato:wght@400;500&display=swap,font-['Rokkitt'],readable-clean,ecommerce-bold
FP048,Crete+Round,Open+Sans,https://fonts.googleapis.com/css2?family=Crete+Round:wght@400;600;700&family=Open+Sans:wght@400;500&display=swap,font-['Crete_Round'],warm-friendly,consumer-playful
FP049,Zilla+Slab,Zilla+Slab+Highlight,https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@400;600;700&family=Zilla+Slab+Highlight:wght@400;500&display=swap,font-['Zilla_Slab'],dramatic-editorial,media-editorial
FP050,Permanent+Marker,Roboto,https://fonts.googleapis.com/css2?family=Permanent+Marker:wght@400;600;700&family=Roboto:wght@400;500&display=swap,font-['Permanent_Marker'],rebel-young,consumer-playful
FP051,Shadows+Into+Light,Merriweather,https://fonts.googleapis.com/css2?family=Shadows+Into+Light:wght@400;600;700&family=Merriweather:wght@400;500&display=swap,font-['Shadows_Into_Light'],personal-warm,media-editorial
FP052,Kalam,Hind,https://fonts.googleapis.com/css2?family=Kalam:wght@400;600;700&family=Hind:wght@400;500&display=swap,font-['Kalam'],cultural-multilingual,consumer-playful
FP053,Noto+Sans,Noto+Serif,https://fonts.googleapis.com/css2?family=Noto+Sans:wght@400;600;700&family=Noto+Serif:wght@400;500&display=swap,font-['Noto_Sans'],global-complete,b2b-enterprise
FP054,Literata,Literata,https://fonts.googleapis.com/css2?family=Literata:wght@400;600;700&display=swap,font-['Literata'],readable-optimized,media-editorial
FP055,Geist,Instrument+Serif,https://fonts.googleapis.com/css2?family=Geist:wght@400;600;700&family=Instrument+Serif:wght@400;500&display=swap,font-['Geist'],contemporary-premium,marketing-agency
FP056,Bricolage+Grotesque,Fraunces,"https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:wght@400;600;700&family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,500&display=swap",font-['Bricolage_Grotesque'],contemporary-agency,marketing-agency
