id,name,mood,color_strategy,typography_role,spacing,motion_level,use_cases
S022,Cyberpunk,precise-neon,neon accents on black; high-contrast acid green/magenta/cyan; CRT glow,monospaced tech fonts with glitch treatment,compact (4-12px),high (glitch; neon pulse),Gaming; crypto; NFT
S023,Data Dashboard,precise-technical,neutral grays with colored data encoding; minimal chrome,small regular tabular-nums sans; dense sidebar hierarchy,compact (4-12px),very low (no distractions),Analytics; BI; monitoreo
S024,AI/ML Interface,precise-futuristic,subtle gradients over clean neutral base; precise futuristic accent,clean precise sans; futuristic measured hierarchy,comfortable (16-24px),medium (subtle gradient motion),Herramientas de IA; chatbots
S025,DevOps/Infrastructure,precise-efficient,dark terminal-inspired palette; efficient mono accents,monospace UI font; efficient compact hierarchy,compact (4-12px),low (subtle fades),CI/CD; cloud management
S026,Magazine Editorial,sophisticated-print,generous margins with single accent; photography-led contrast,large display type; mixed serif/sans pairing; column hierarchy,very generous (32-64px),low (minimal; elegant transitions),Publicaciones digitales; blogs premium
S027,Newspaper/News,sophisticated-print,neutral palette with breaking-news accent; dense hierarchy,serif headlines with dense informational hierarchy,comfortable (16-24px),low (minimal; elegant transitions),Portales de noticias; periodismo
S028,Long-form Writing,sophisticated-print,calm neutral palette; optimal reading measure; single accent,readable serif body at comfortable measure; clear hierarchy,very generous (32-64px),low (minimal; elegant transitions),Blogs; substacks; ensayos
S029,Photo-forward Editorial,sophisticated-print,full-bleed imagery with minimal chrome; caption-driven accent,understated caption sans; image-led grid hierarchy,very generous (32-64px),low (minimal; elegant transitions),Fotografia; travel journalism
S030,Academic/Research,sophisticated-print,neutral structured palette; formal footnote-aware contrast,structured serif with footnote and formal hierarchy,very generous (32-64px),low (minimal; elegant transitions),Papers; universidades; research
S031,Biophilic,warm-grounded,earthy greens and natural tones; textured organic accents,humanist sans or variable font; slightly irregular hierarchy,comfortable (16-24px),low-medium (gentle spring),Eco-marcas; sostenibilidad
S032,Cottagecore,warm-grounded,warm handcrafted palette; floral nostalgic accents,humanist sans with handcrafted nostalgic headings,comfortable (16-24px),low-medium (gentle spring),Lifestyle; food artesanal
S033,Wabi-Sabi,warm-grounded,muted natural tones; imperfect textured neutrals,thin light weight sans; minimal imperfect hierarchy,very generous (32-64px),very low (almost none),Ceramica; deco; wellness
S034,Botanical,warm-grounded,fresh green palette; clean natural leaf-inspired accents,clean fresh sans; airy natural hierarchy,comfortable (16-24px),low-medium (gentle spring),Cosmeticos naturales; herboristeria
S035,Terracotta Earthy,warm-grounded,terracotta and beige muted palette; warm earthy contrast,warm humanist sans; grounded comfortable hierarchy,comfortable (16-24px),low-medium (gentle spring),Home decor; slow fashion
S036,Raw Brutalist,raw-bold,flat high-contrast colors; no gradients; stark raw contrast,heavy type-heavy sans; intentionally clunky oversized hierarchy,dense; breaks grid,low (static or abrupt cuts),Portfolio de artistas; zines
S037,Anti-Design,raw-bold,intentionally clashing bold colors; rules-breaking contrast,intentionally ugly mismatched type; rules-breaking hierarchy,dense; breaks grid,low (static or abrupt cuts),Arte experimental; critica cultural
S038,Swiss Brutalist,raw-bold,stark black-and-white palette; harsh high contrast,condensed bold sans; harsh oversized typographic hierarchy,dense; breaks grid,low (static or abrupt cuts),Agencias creativas; tipografia
S039,Digital Brutalist,raw-bold,flat web-brutalist palette; stark borders; harsh contrast,system fonts with raw bordered hierarchy,dense; breaks grid,low (static or abrupt cuts),Startups disruptivas; marketing viral
S040,Glass Cards,modern-ethereal,translucent backgrounds with blurred backdrops (backdrop-filter: blur),light weight sans-serif with high contrast against glass,comfortable (16-24px),medium (subtle entrance animations),Dashboards modernos; apps mobile
S041,Floating Glass,modern-ethereal,light translucent panels with layered depth; elevated overlays,light weight sans-serif with elevated contrast against glass,comfortable (16-24px),medium (subtle entrance animations),Landing pages; SaaS marketing
S042,Dark Glassmorphism,modern-dark,dark translucent panels with neon-glow accents; premium depth,light weight sans-serif glowing against dark glass,comfortable (16-24px),medium (glow pulse; blur transition),Apps gaming; crypto dashboards
S043,Soft UI Light,soft-tactile,single light hue with light/dark shadows to simulate extrusion,rounded medium weight sans-serif,comfortable (16-24px),low (depth cues replace motion),Calculadoras; controles UI; wearables
S044,Soft UI Dark,soft-tactile,single dark hue with inset shadows to simulate extrusion,rounded medium weight sans-serif,comfortable (16-24px),low (depth cues replace motion),Players de musica; apps fitness
S045,Y2K Retro,nostalgic-fun,chrome and pink early-web palette; glossy retro contrast,chrome display fonts with pixel accents; loud retro hierarchy,comfortable (16-24px),medium (pixel transitions; screen wipe),Moda; musica pop; lifestyle jovenes
S046,80s Synthwave,nostalgic-fun,neon purple on dark; grid floor; sunset gradient,display fonts with scanline glow; analog retro hierarchy,comfortable (16-24px),medium (scanlines; glow),Musica; gaming retro; eventos
S047,90s Grunge Web,nostalgic-fun,distressed low-fi palette; grungy authentic contrast,distressed display type; low-fi irregular hierarchy,comfortable (16-24px),medium (glitch; abrupt cuts),Cultura alternativa; musica indie
S048,Vaporwave,nostalgic-surreal,pink and purple pastels on dark; surreal gradient contrast,display fonts; italic; mixed script and serif,comfortable (16-24px),medium (scanlines; VHS glitch),Estetica internet; arte digital
S049,Art Nouveau Digital,nostalgic-fun,vintage floral palette; ornate organic-line accents,ornate display serif with organic flowing hierarchy,comfortable (16-24px),medium (flowing reveals),Belleza; perfumeria; deco art
S050,Space Age,futuristic-dreamy,chrome accents on dark; precise orbital contrast,precise display sans; technical chrome hierarchy,comfortable (16-24px),high (glow; orbital motion),Aeroespacial; deep tech; blockchain
S051,Solarpunk,futuristic-dreamy,bright green-tech palette; utopian nature-tech accents,clean optimistic sans; bright airy hierarchy,comfortable (16-24px),high (bright energetic motion),Energia renovable; ciudades futuras
S052,Abstract Futurism,futuristic-dreamy,morphing gradient meshes; fluid generative palette,fluid abstract display; generative gradient hierarchy,comfortable (16-24px),high (gradient morph; fluid motion),IA generativa; arte computacional
S053,Holographic,futuristic-dreamy,iridescent rainbow-foil palette; prismatic shimmer accents,light prismatic display sans; shimmering hierarchy,comfortable (16-24px),high (shimmer; iridescent motion),Moda tech; beauty futurista
S054,Fine Art Gallery,expressive-curated,white gallery palette; understated curatorial accent,understated serif; curatorial restrained hierarchy,comfortable (16-24px),low (minimal; elegant transitions),Museos; galerias; coleccionismo
S055,Street Art Urban,expressive-curated,raw layered graffiti palette; bold expressive contrast,bold expressive display; layered raw hierarchy,comfortable (16-24px),medium (energetic reveals),Cultura urbana; musica rap; sneakers
S056,Bauhaus Inspired,expressive-curated,primary-color blocks; geometric functional contrast,bold geometric sans; functional primary-color hierarchy,comfortable (16-24px),low (minimal; precise transitions),Arquitectura; diseno industrial
S057,Portfolio Creative,personal-relaxed,expressive personal palette; mixed scrolling accents,expressive mixed type; personal scrolling hierarchy,comfortable (16-24px),medium (scroll reveals),Portfolios personales; freelancers
